virusIsolate	virusStrain	virusYear	serumIsolate	serumStrain	serumYear	titer	source
B/Hiroshima/9/2010	B/Hiroshima/9/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011FebVic3
B/Stockholm/7/2010	B/Stockholm/7/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	320	MRC2011FebVic3
B/Stockholm/9/2010	B/Stockholm/9/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	320	MRC2011FebVic3
B/Stockholm/10/2010	B/Stockholm/10/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011FebVic3
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2011FebVic4
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	10	MRC2011SepVic
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011SepVic2
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011SepVic3
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2011SepVic4
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2011SepVic5
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2012FebVic
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	<10	MRC2012FebVic2
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2012FebVic3
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	<10	MRC2012FebVic4
B/Agadir/156/2011	B/Agadir/156/2011	2011	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	10	MRC2011FebVic3
B/Voronezh/20/2011	B/Voronezh/20/2011	2011	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2011SepVic
B/Malta/636714/2011	B/Malta/636714/2011	2011	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2011SepVic2
B/Cambodia/30/2011	B/Cambodia/30/2011	2011	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	80	MRC2011SepVic5
B/Santiago/6025/2011	B/Santiago/6025/2011	2011	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	160	MRC2011SepVic5
B/Nevada/3/2011	B/Nevada/3/2011	2011	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	160	MRC2011SepVic5
B/Shanghai/1392/2011	B/Shanghai/1392/2011	2011	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	160	MRC2011SepVic5
B/Malta/636714/2011	B/Malta/636714/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	80	MRC2012FebVic2
B/AixEnProvence/1795/2011	B/AixEnProvence/1795/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	20	MRC2012FebVic2
B/Norway/2368/2011	B/Norway/2368/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	20	MRC2012FebVic2
B/HongKong/1129/2011	B/HongKong/1129/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	<10	MRC2012FebVic2
B/Norway/2429/2011	B/Norway/2429/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	10	MRC2012FebVic2
B/HongKong/1153/2011	B/HongKong/1153/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	<10	MRC2012FebVic2
B/Malta/636714/2011	B/Malta/636714/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	80	MRC2012FebVic4
B/Denmark/22/2011	B/Denmark/22/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	40	MRC2012FebVic4
B/Denmark/16/2011	B/Denmark/16/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	10	MRC2012FebVic4
B/Denmark/21/2011	B/Denmark/21/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	80	MRC2012FebVic4
B/Denmark/24/2011	B/Denmark/24/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	40	MRC2012FebVic4
B/Denmark/23/2011	B/Denmark/23/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	80	MRC2012FebVic4
B/DominicanRepublic/5486/2011	B/DominicanRepublic/5486/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	160	MRC2012FebVic4
B/Tokyo/91107/2011	B/Tokyo/91107/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	<10	MRC2012FebVic4
B/Switzerland/5632623/2011	B/Switzerland/5632623/2011	2011	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	10	MRC2012FebVic4
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2005Sep1
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/45/05	B/HongKong/45/2005	2005	160	MRC2005Sep2
